track	ref	median_pident	expr_conservation	n_genes	GO_Wang	GO_recall
fish	medaka	70.4	0.45789473684210524	1663	0.773146319467504	0.34627966039459224
fish	mouse	62.6	0.2835164835164835	1524	0.7381420874375814	0.4812522594832867
fish	human	63.1	0.24545454545454545	1610	0.7463370319066756	0.43109434228015064
fish	cod	69.5	0.35664335664335667	1226	0.7570836265760563	0.32353803859391456
fish	gar	70.4	0.3450549450549451	1594	0.7677065774208317	0.35392871132217185
fish	astyanax	76.5	0.3758241758241759	1772	0.757721462957203	0.3303563231068681
mammal	rat	94.5	0.5809568480300189	11656	0.9095926074372038	0.8830426309035655
mammal	human	86.5	0.416678058783322	15605	0.830327056948732	0.4987863361687106
mammal	cow	85.0	0.3419387755102041	13076	0.8166371680957665	0.37039832485118007
mammal	dog	85.6	0.3676205238175745	250	0.8228035160608963	0.39663065848352436
mammal	pig	85.2	0.3760414287924214	14096	0.8234195502961155	0.4009359329393402
mammal	xenopus	67.4	0.3	745	0.7929664720037451	0.2622904888339516
mammal	zebrafish	62.6	0.2835164835164835	1524	0.7649525786982903	0.23893470847567494
mammal	rabbit	85.2	0.47719298245614034	13152	0.8169565242544956	0.365283313184541
mammal	horse	85.5	0.4263157894736842	13880	0.8138749761400431	0.354155318275621
mammal	opossum	77.5	0.3681868743047831	13075	0.8153235190958549	0.37517430447788924
mammal	platypus	75.6	0.43333333333333335	12462	0.8108047476961513	0.37573241095233695
mammal	anole	70.5	0.389010989010989	10020	0.8032363227606545	0.3413619146962
mammal	gar	65.0	0.29696969696969694	11254	0.7983117477811181	0.2788586045233969
