ref	aspect	My	median_pident	wang	recall	reliability
a_halleri	MF	8	93.8	0.69	0.41	reliable
camelina	MF	20	89.5	0.69	0.48	reliable
capsella	MF	15	89.3	0.74	0.6	reliable
brassica_rapa	MF	25	83.4	0.72	0.52	reliable
brassica_oleracea	MF	25	83.2	0.71	0.49	reliable
grape	MF	110	66.1	0.67	0.42	reliable
poplar	MF	110	65.9	0.68	0.43	reliable
soybean	MF	110	64.6	0.68	0.44	reliable
potato	MF	110	63.9	0.64	0.36	reliable
tomato	MF	110	63.4	0.67	0.41	reliable
amborella	MF	200	61.8	0.62	0.37	reliable
rice	MF	160	60.4	0.63	0.38	reliable
maize	MF	160	59.5	0.61	0.34	reliable
selaginella	MF	420	55.4	0.53	0.29	caution
marchantia	MF	480	54.7	0.51	0.28	caution
moss	MF	480	54.3	0.54	0.28	caution
chlamydomonas	MF	1000	45.5	0.47	0.22	caution
a_halleri	BP	8	93.8	0.73	0.32	reliable
camelina	BP	20	89.5	0.76	0.39	reliable
capsella	BP	15	89.3	0.76	0.41	reliable
brassica_rapa	BP	25	83.4	0.73	0.37	reliable
brassica_oleracea	BP	25	83.2	0.74	0.38	reliable
grape	BP	110	66.1	0.7	0.29	reliable
poplar	BP	110	65.9	0.7	0.29	reliable
soybean	BP	110	64.6	0.7	0.31	reliable
potato	BP	110	63.9	0.68	0.26	reliable
tomato	BP	110	63.4	0.69	0.28	reliable
amborella	BP	200	61.8	0.66	0.26	reliable
rice	BP	160	60.4	0.67	0.27	reliable
maize	BP	160	59.5	0.67	0.25	reliable
selaginella	BP	420	55.4	0.59	0.18	caution
marchantia	BP	480	54.7	0.58	0.18	caution
moss	BP	480	54.3	0.58	0.19	caution
chlamydomonas	BP	1000	45.5	0.48	0.13	caution
a_halleri	CC	8	93.8	0.63	0.34	reliable
camelina	CC	20	89.5	0.66	0.47	reliable
capsella	CC	15	89.3	0.68	0.53	reliable
brassica_rapa	CC	25	83.4	0.67	0.47	reliable
brassica_oleracea	CC	25	83.2	0.65	0.46	reliable
grape	CC	110	66.1	0.55	0.32	caution
poplar	CC	110	65.9	0.59	0.38	caution
soybean	CC	110	64.6	0.59	0.37	caution
potato	CC	110	63.9	0.57	0.33	caution
tomato	CC	110	63.4	0.6	0.36	reliable
amborella	CC	200	61.8	0.55	0.32	caution
rice	CC	160	60.4	0.55	0.32	caution
maize	CC	160	59.5	0.62	0.33	reliable
selaginella	CC	420	55.4	0.53	0.26	caution
marchantia	CC	480	54.7	0.52	0.26	caution
moss	CC	480	54.3	0.52	0.25	caution
chlamydomonas	CC	1000	45.5	0.51	0.21	caution
